tier,leagueId,queue,name,date,summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,FFpF079ylPyYRvL8wzviuBRFp1ladTmMwcuVa8wOH2jj_k0a,jasmine moon,760,I,353,320,False,False,True,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,qdJWrC6S4APon0yBvzKU9Pxo8GEUEa82Ve8KiQ5-02oTzwNe,hfvdkjhkjsh,593,I,266,228,False,False,True,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,hojO2N_LEWwE5TAZOmtpzhgqJqamCMtLi5lJsynk4cH0tRo,Shimmer,568,I,99,80,False,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,gJaK5Bys1MRqwjrLxL8QTRiFjeSNSyLMmZ6zWHfx2WdEgRc,Crimsonating,613,I,179,164,False,False,True,True
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,Fpds-FINpeG0NCcnAp6Ae8Yej7z9-UmTmaXK5pNjgJXyNX4,FARTSNIFFER123,675,I,147,114,False,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,Ahi5Iqa6Dq0f5UZ-W0v1jrHSJKWCokeWZriCLaZpcHhm1TIp,bie yi han,710,I,180,151,False,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,0_mAl7TBQaUNPh4_PeNbx9MHuXNLh5BOAiMe6Xvt6f006LM,UNCLE JAMAL SUP,685,I,248,213,False,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,P82OC7L3XydyeIT_8hwGKxMDMwVofzcJI2mEZ9s3cZKrdFI,eepy idiot,545,I,491,492,False,False,True,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,kL_ojqOxLZ6bV8GgBcU0AZ_zy2qziCGmtGCOju1qzbAuaI4BuuZgw2aZ8A,SugarDaddyBin,671,I,181,151,False,False,True,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,opgZ6TanMdz5hMyCh6r0n_zBY_HMuRLrTgBPc1Zb4ggsytjS,MXT,817,I,138,107,False,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,tLdRmE_CRIYtfwGLnOwbmB6L5h8Vcxo17DKLlyGIPbD3Dsk,whitealbum2,701,I,162,136,False,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,J9YGBuPJ5wSQrw42I6iZbo7MjAeaKKFec5rkcw_eej1gDWI,HelImet,551,I,154,131,False,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,96_ny_sf-JSeUeGP1U2_fkLtL4j2ym9pRqYUez_2zyUiMkFB,SadMeat,701,I,160,127,False,False,False,True
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,iQbS8yvcrCeH8Xzo-lS96lY5UsN6hD5YJcUq1pgZR8KGZio,Kie,573,I,199,174,True,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,6QbsOyw5soZQ9FuVlpGdnsW-L4pm7ZCgmXXFy6jZ26aKIUA,TinFoilSlayer,654,I,122,96,False,False,False,True
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,ae6aIy0HKJnEJey631vd9tJexEHGxMu1VwYMUt8J2KZLULE,Vitalian,524,I,201,184,False,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,Q42PMk7kVMwIZ6bi4q4l54dcvCkSy2VK8iarLW2lUgznap4,4PF XI JINPING,652,I,65,44,False,False,True,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,bNHMyDfyYPz-J82UZE9Znod830hE8E9qwN0zDBdYu2Si93g,Zepshun,569,I,247,227,False,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,tbdlR4TUYwz_az5ZcHpSwiAOhI1oDK0HvRwdwUP_fhH2Ui0,Khun AgueroAgnis,466,I,146,131,False,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,KKE6bBvZ48wr8mJs-iRCDSs1KXwCyoVCoUPgYdA9hH8_O8A,Protos,616,I,263,249,False,False,False,True
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,kE-zxiKUOJsldssoGY1bAEg98Lmu_nopjMlCXR2gxhmLGTw,marshmellow man,672,I,200,180,False,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,g3j8XwL4rL94t3tehrSDun9oKwsp-X06RNqWFUhLM-4krZrX6-vlj0NJsA,SIayer Supreme,944,I,168,133,False,False,True,True
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,Zaw0Z0PlOSgPwrvmfYpxuoSPrwx8jHPXtp9ZSY0J1bsUkTu_DRUCAqkGBQ,Charleza,535,I,88,55,False,False,True,False
